"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45527524480.7986;1;1;3;60000;"Anlagezustand-VM : Abpumpen ";;;;;;;;"23.08.2024 12:35:15";"Anlagezustand-VM : Abpumpen ";
45527524483.7963;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 20*****201";;;;;;;;"23.08.2024 12:35:15";"Programm/Schrittnummer Status des BM ist : 20*****201";
45527524483.7963;1;1;3;60000;"Anlagezustand-BM : Abpumpen ";;;;;;;;"23.08.2024 12:35:15";"Anlagezustand-BM : Abpumpen ";
45527524492.2801;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 20*****205";;;;;;;;"23.08.2024 12:35:16";"Programm/Schrittnummer Status des VM ist : 20*****205";
45527524495.3704;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 20*****205";;;;;;;;"23.08.2024 12:35:16";"Programm/Schrittnummer Status des BM ist : 20*****205";
45527524503.7269;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 20*****210";;;;;;;;"23.08.2024 12:35:17";"Programm/Schrittnummer Status des VM ist : 20*****210";
45527524507.0023;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 20*****210";;;;;;;;"23.08.2024 12:35:17";"Programm/Schrittnummer Status des BM ist : 20*****210";
45527524677.338;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 20*****220";;;;;;;;"23.08.2024 12:35:32";"Programm/Schrittnummer Status des VM ist : 20*****220";
45527524680.787;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 20*****225";;;;;;;;"23.08.2024 12:35:32";"Programm/Schrittnummer Status des BM ist : 20*****225";
45527524689.0278;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 20*****225";;;;;;;;"23.08.2024 12:35:33";"Programm/Schrittnummer Status des VM ist : 20*****225";
45527528905.5556;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 50*****500";;;;;;;;"23.08.2024 12:41:37";"Programm/Schrittnummer Status des BM ist : 50*****500";
45527528905.5556;1;1;3;60000;"Anlagezustand-BM : Belüften  ";;;;;;;;"23.08.2024 12:41:37";"Anlagezustand-BM : Belüften  ";
45527528913.0208;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 50*****505";;;;;;;;"23.08.2024 12:41:38";"Programm/Schrittnummer Status des VM ist : 50*****505";
45527528913.0208;1;1;3;60000;"Anlagezustand-VM : Belüften  ";;;;;;;;"23.08.2024 12:41:38";"Anlagezustand-VM : Belüften  ";
45527528916.9213;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 50*****505";;;;;;;;"23.08.2024 12:41:38";"Programm/Schrittnummer Status des BM ist : 50*****505";
45527528959.537;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 50*****520";;;;;;;;"23.08.2024 12:41:42";"Programm/Schrittnummer Status des VM ist : 50*****520";
45527528963.2523;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 50*****525";;;;;;;;"23.08.2024 12:41:42";"Programm/Schrittnummer Status des BM ist : 50*****525";
45527528971.169;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 50*****525";;;;;;;;"23.08.2024 12:41:43";"Programm/Schrittnummer Status des VM ist : 50*****525";
45527531135.1736;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 50*****535";;;;;;;;"23.08.2024 12:44:50";"Programm/Schrittnummer Status des VM ist : 50*****535";
45527531139.213;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 50*****535";;;;;;;;"23.08.2024 12:44:50";"Programm/Schrittnummer Status des BM ist : 50*****535";
45527531146.8287;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 50*****590";;;;;;;;"23.08.2024 12:44:51";"Programm/Schrittnummer Status des VM ist : 50*****590";
